City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,75.06,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
4,San Quintin,MX,77.31,broken clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
7,Yenagoa,NG,76.3,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
8,Tura,IN,75.45,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
9,Paciran,ID,77.68,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
11,Butaritari,KI,80.46,few clouds,3.0707,172.7902,Isles Sunset Lodge
21,Coahuayana,MX,85.77,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
23,Samarai,PG,79.25,overcast clouds,-10.6167,150.6667,Nuli Sapi
24,Minden,DE,75.69,few clouds,52.2833,8.9167,Victoria Hotel Minden
28,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Kodinar,IN,80.44,broken clouds,20.7903,70.7031,residency of N.B vadhel
35,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
42,Dhidhdhoo,MV,80.96,overcast clouds,6.8833,73.1,Dhidhoo beach
45,Victoria,HK,80.65,moderate rain,22.2855,114.1577,Mini Central
47,Katsuura,JP,81.07,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
49,Murray,US,89.85,clear sky,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
54,Seoul,KR,78.24,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
58,Guasdualito,VE,86.41,scattered clouds,7.2424,-70.7324,Hotel Cuibas
59,Russell,US,88.92,few clouds,32.3502,-85.1999,Macs
60,Tuy Hoa,VN,76.17,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
62,Batavia,US,81.79,overcast clouds,41.85,-88.3126,Comfort Inn & Suites Geneva- West Chicago
65,Vila Franca Do Campo,PT,75.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
66,Bengkulu,ID,76.03,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Lompoc,US,78.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
73,Manokwari,ID,77.18,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
76,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
77,Clinton,US,89.62,broken clouds,42.587,-82.9199,River's Edge
79,Jablah,SY,78.35,clear sky,35.3614,35.9256,هوتيل
80,Kapaa,US,80.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
81,Jamestown,US,78.53,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Santa Rosa,PH,77.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
83,Foam Lake,CA,80.62,clear sky,51.65,-103.5343,Fishing Lake Lodge LTD
87,Bagli,IN,77.32,overcast clouds,22.65,76.35,Yash carpenter
90,Lorengau,PG,80.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
93,Dingle,PH,75.13,light rain,10.9995,122.6711,SEGAYA PROPERTY
94,Dongzhen,CN,77.34,broken clouds,22.3797,110.9389,茂名中汇时尚酒店
95,Hasaki,JP,81.28,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
96,Korla,CN,89.02,clear sky,41.7597,86.1469,Gulisitan Hotel
103,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
104,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
105,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
109,Chateau-Thierry,FR,81.99,few clouds,49.05,3.4,Hôtel Restaurant Campanile Château Thierry
110,Jacqueville,CI,76.26,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
111,Marsh Harbour,BS,84.51,few clouds,26.5412,-77.0636,Abaco Beach Resort
113,Faanui,PF,76.51,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
124,Ambulu,ID,75.2,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
128,Thompson,CA,78.37,overcast clouds,55.7435,-97.8558,Burntwood Hotel
131,Sao Filipe,CV,80.08,overcast clouds,14.8961,-24.4956,Hotel Xaguate
133,Padang,ID,76.57,scattered clouds,-0.9492,100.3543,Mercure Padang
134,Sola,VU,80.37,clear sky,-13.8833,167.55,Leumerus Bungalows
138,Kavaratti,IN,80.64,overcast clouds,10.5669,72.642,Green leaf
141,Komsomolskiy,UZ,86.72,broken clouds,40.4272,71.7189,Ikathouse
144,Carmen,MX,82.44,broken clouds,18.6333,-91.8333,Hotel Lossandes
147,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
148,Sirsa,IN,88.11,broken clouds,29.5333,75.0167,OYO 48542 Hotel Capital
167,Ribeira Brava,PT,78.71,clear sky,32.65,-17.0667,Hotel do Campo
170,Sur,OM,89.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
173,Cartagena,CO,87.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
176,Pinawa,CA,79.63,few clouds,50.1489,-95.8811,Pinawa Motel
179,Aloleng,PH,76.17,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
182,Carballo,ES,87.22,clear sky,43.213,-8.691,Pazo do Souto
184,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
186,Muisne,EC,75.29,overcast clouds,0.6,-80.0333,Quinta Samay
192,Manavalakurichi,IN,77.94,moderate rain,8.1333,77.3,Jebinrio home
195,Redmond,US,86.2,clear sky,47.674,-122.1215,Seattle Marriott Redmond
197,Hithadhoo,MV,82.15,overcast clouds,-0.6,73.0833,Scoop Guest House
198,Kieta,PG,77.81,light rain,-6.2167,155.6333,Uruna Bay Retreat
207,Kallithea,GR,87.46,few clouds,37.95,23.7,Athens Atrium Hotel
212,Chatakonda,IN,76.15,overcast clouds,17.55,80.65,Hotel Surya Palace
213,Praia Da Vitoria,PT,80.76,few clouds,38.7333,-27.0667,Hotel Branco I
223,Morant Bay,JM,87.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
225,Piacabucu,BR,78.21,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
229,Srandakan,ID,75.49,overcast clouds,-7.9386,110.2506,Puri Brata
230,Half Moon Bay,US,77.86,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
234,Pajarito,CO,76.96,few clouds,5.2929,-72.7028,Serrucho rojo
238,Banda Aceh,ID,79.39,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
241,Helena,US,86.36,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
244,Laylay,PH,81.84,heavy intensity rain,13.4391,121.8202,Chateau Du Mer
252,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
255,Karari,IN,88.52,broken clouds,25.45,81.4333,Guvara Taiyabpur
258,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
260,San Cristobal,VE,89.78,clear sky,7.7669,-72.225,Pirineos
261,Lampang,TH,77.27,light rain,18.3333,99.5,Mrs Luis Guest House
264,Punto Fijo,VE,88.3,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
265,Sibolga,ID,76.21,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
267,Manono,CD,81.18,clear sky,-7.3,27.4167,Hotel hewa bora
268,Grants,US,77.23,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
271,Xinpu,CN,80.67,overcast clouds,34.5997,119.1594,Pattaya Leisure Hotel
272,Walajapet,IN,80.69,overcast clouds,12.9333,79.3833,ARS.Residency
275,Hanzhong,CN,77.4,overcast clouds,33.0728,107.0303,Guorui Hotel
276,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
279,Bombay,IN,80.58,light intensity drizzle,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
284,Mitsamiouli,KM,75.79,scattered clouds,-11.3847,43.2844,Foyer ADM
288,Dayong,CN,77.36,clear sky,25.0209,118.2898,Haiyue Express Hotel
289,Devils Lake,US,78.91,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
298,Guerrero Negro,MX,83.1,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
302,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
304,Kindu,CD,79.0,few clouds,-2.95,25.95,Résidence Okanda
309,Atuona,PF,77.32,clear sky,-9.8,-139.0333,Villa Enata
313,Anito,PH,76.55,overcast clouds,12.4497,125.2886,El Felix Cottages
318,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
322,Adilabad,IN,75.29,moderate rain,19.6667,78.5333,Dwaraka Hotel.
326,Honiara,SB,76.15,broken clouds,-9.4333,159.95,Heritage Park Hotel
327,Shache,CN,81.19,broken clouds,38.4167,77.2406,Delong Hotel
338,Maragogi,BR,78.62,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
340,Bang Saphan,TH,75.18,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
343,Phalia,PK,89.2,clear sky,32.4297,73.5775,Sabri Hotel Phalia صابری ہوٹل پھالیہ
344,Itoman,JP,84.97,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
345,Hami,CN,87.64,clear sky,42.8,93.45,Laoyutang Resort
347,Panama City,PA,87.75,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
348,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
351,Marovoay,MG,76.14,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
354,Harper,LR,75.33,overcast clouds,4.375,-7.7169,Screensaver
355,Massaguet,TD,83.79,overcast clouds,12.4755,15.4365,Alwatane
357,Pueblo,US,82.42,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
359,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
362,Maumere,ID,77.31,light rain,-8.6199,122.2111,Sylvia Hotel
371,Oshawa,CA,82.62,broken clouds,43.9001,-78.8496,Comfort Inn
373,Meulaboh,ID,76.17,broken clouds,4.1363,96.1285,Kost Pria
375,Adamas,GR,76.64,clear sky,36.7333,24.4333,Aphrodite of Milos
378,Porbandar,IN,80.29,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
379,Sabana De Torres,CO,88.41,scattered clouds,7.3915,-73.4957,Hotel el Milagro
380,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
381,Nouadhibou,MR,75.06,clear sky,20.931,-17.0347,El Medina
382,Digha,IN,82.45,overcast clouds,21.6833,87.55,Khoniker Atithi
384,Diebougou,BF,85.24,broken clouds,10.9667,-3.25,Hotel Le Consulat
385,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
388,Sao Jose Da Coroa Grande,BR,78.87,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
390,Nago,JP,85.05,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
392,Fez,MA,88.05,few clouds,34.0372,-4.9998,Hotel Mounia Fès
395,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Piesta
396,Kindersley,CA,84.22,clear sky,51.4668,-109.1682,Kindersley Inn
398,Huilong,CN,83.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
