City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,34.81,68,2,17.6,clear sky
1,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,75,3.44,light intensity drizzle
2,Rikitea,PF,-23.1203,-134.9692,72.59,80,100,27.94,light rain
3,Nizwa,OM,22.9333,57.5333,96.55,29,83,6.31,broken clouds
4,San Quintin,MX,30.4833,-115.95,77.31,69,56,8.48,broken clouds
5,Chokurdakh,RU,70.6333,147.9167,56.19,43,99,5.68,overcast clouds
6,Havoysund,NO,70.9963,24.6622,52.03,87,100,18.07,overcast clouds
7,Yenagoa,NG,4.9247,6.2642,76.3,86,100,6.58,light rain
8,Tura,IN,25.5198,90.2201,75.45,96,28,6.33,scattered clouds
9,Paciran,ID,-6.8767,112.3761,77.68,83,56,7.23,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,58.12,79,60,0.81,broken clouds
11,Butaritari,KI,3.0707,172.7902,80.46,80,24,13.22,few clouds
12,Busselton,AU,-33.65,115.3333,46.45,90,87,15.55,overcast clouds
13,Chimbote,PE,-9.0853,-78.5783,67.26,69,62,11.34,broken clouds
14,Ushuaia,AR,-54.8,-68.3,40.66,56,20,9.22,few clouds
15,Gold Coast,AU,-28.0,153.4333,55.47,88,1,10.36,clear sky
16,Bambous Virieux,MU,-20.3428,57.7575,67.21,75,14,12.41,few clouds
17,Ostrovnoy,RU,68.0531,39.5131,50.07,88,85,10.29,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,60.57,67,89,13.0,overcast clouds
19,Mtwara,TZ,-10.2667,40.1833,72.59,74,80,10.07,broken clouds
20,Albany,US,42.6001,-73.9662,94.95,61,63,8.7,broken clouds
21,Coahuayana,MX,18.7333,-103.6833,85.77,70,71,6.15,broken clouds
22,Chunskiy,RU,56.0815,99.6342,57.11,83,74,2.44,broken clouds
23,Samarai,PG,-10.6167,150.6667,79.25,72,99,14.74,overcast clouds
24,Minden,DE,52.2833,8.9167,75.69,44,20,8.05,few clouds
25,Longyan,CN,25.1072,117.0225,72.79,95,0,1.43,clear sky
26,Sungaipenuh,ID,-2.0833,101.3833,65.16,95,77,1.01,broken clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,50.95,79,100,4.0,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,84,8.99,broken clouds
29,Kodinar,IN,20.7903,70.7031,80.44,91,63,13.15,broken clouds
30,Barrow,US,71.2906,-156.7887,44.62,70,0,12.66,clear sky
31,Hermon,US,44.8101,-68.9134,73.92,88,100,11.5,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,58.8,86,63,0.85,broken clouds
33,Sorland,NO,67.667,12.6934,55.26,82,100,20.51,overcast clouds
34,Cheremukhovo,RU,60.3484,59.9851,66.52,70,67,2.39,broken clouds
35,Georgetown,MY,5.4112,100.3354,82.89,73,20,0.0,few clouds
36,Lagoa,PT,39.05,-27.9833,73.81,78,45,15.59,scattered clouds
37,Saldanha,ZA,-33.0117,17.9442,55.62,82,62,8.23,broken clouds
38,Fairbanks,US,64.8378,-147.7164,52.61,93,100,4.61,light rain
39,Punta Arenas,CL,-53.15,-70.9167,37.51,75,75,8.05,broken clouds
40,Zhigansk,RU,66.7697,123.3711,51.04,87,88,3.69,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,34.48,81,3,6.33,clear sky
42,Dhidhdhoo,MV,6.8833,73.1,80.96,85,96,14.83,overcast clouds
43,Vulcan,RO,45.3833,23.2667,62.55,92,84,3.51,broken clouds
44,Constitucion,CL,-35.3333,-72.4167,55.8,63,0,9.13,clear sky
45,Victoria,HK,22.2855,114.1577,80.65,89,80,11.01,moderate rain
46,Kaitangata,NZ,-46.2817,169.8464,35.67,77,43,8.1,scattered clouds
47,Katsuura,JP,35.1333,140.3,81.07,88,96,19.82,overcast clouds
48,Mount Gambier,AU,-37.8333,140.7667,41.77,96,13,2.73,few clouds
49,Murray,US,40.6669,-111.888,89.85,29,0,4.0,clear sky
50,Elizabeth City,US,36.2946,-76.2511,93.06,62,20,13.8,few clouds
51,Nanortalik,GL,60.1432,-45.2371,45.75,83,100,8.5,overcast clouds
52,Torbay,CA,47.6666,-52.7314,72.28,77,98,16.31,overcast clouds
53,Aykhal,RU,66.0,111.5,44.89,91,100,1.36,overcast clouds
54,Seoul,KR,37.5683,126.9778,78.24,98,100,7.2,light rain
55,Ledyard,US,41.4398,-72.0142,93.27,68,0,12.66,clear sky
56,Taoudenni,ML,22.6783,-3.9836,113.95,7,4,17.34,clear sky
57,Esperance,AU,-33.8667,121.9,52.16,78,84,11.63,broken clouds
58,Guasdualito,VE,7.2424,-70.7324,86.41,68,29,3.09,scattered clouds
59,Russell,US,32.3502,-85.1999,88.92,58,20,5.75,few clouds
60,Tuy Hoa,VN,13.0833,109.3,76.17,88,100,21.34,light rain
61,Caruray,PH,10.3094,119.0128,78.31,86,100,4.9,overcast clouds
62,Batavia,US,41.85,-88.3126,81.79,88,100,17.27,overcast clouds
63,Bethel,US,41.3712,-73.414,93.88,68,75,3.44,broken clouds
64,Jalu,LY,29.0331,21.5482,92.21,23,6,9.55,clear sky
65,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,82,56,6.22,light rain
66,Bengkulu,ID,-3.8004,102.2655,76.03,89,38,6.82,scattered clouds
67,Anadyr,RU,64.75,177.4833,42.49,75,39,9.55,scattered clouds
68,Prince Rupert,CA,54.3161,-130.3201,58.69,80,1,17.27,clear sky
69,Lompoc,US,34.6391,-120.4579,78.85,71,0,17.0,clear sky
70,Pacific Grove,US,36.6177,-121.9166,72.81,79,0,10.0,clear sky
71,Gao,ML,16.6362,1.637,94.84,33,100,19.89,overcast clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,55.15,67,100,21.92,overcast clouds
73,Manokwari,ID,-0.8667,134.0833,77.18,82,100,5.57,overcast clouds
74,Longyearbyen,SJ,78.2186,15.6401,51.64,66,75,12.66,broken clouds
75,Darhan,MN,49.4867,105.9228,58.89,83,71,2.1,broken clouds
76,Hilo,US,19.7297,-155.09,81.28,92,100,5.75,moderate rain
77,Clinton,US,42.587,-82.9199,89.62,77,75,9.22,broken clouds
78,San Patricio,US,28.017,-97.5169,93.18,41,38,13.44,scattered clouds
79,Jablah,SY,35.3614,35.9256,78.35,71,0,8.05,clear sky
80,Kapaa,US,22.0752,-159.319,80.11,76,40,12.66,scattered clouds
81,Jamestown,US,42.097,-79.2353,78.53,88,100,14.97,overcast clouds
82,Santa Rosa,PH,14.3122,121.1114,77.09,93,100,4.52,overcast clouds
83,Foam Lake,CA,51.65,-103.5343,80.62,43,1,5.64,clear sky
84,Zeya,RU,53.75,127.2667,52.11,98,100,0.18,overcast clouds
85,Hobart,AU,-42.8794,147.3294,36.05,91,4,8.05,clear sky
86,Rabo De Peixe,PT,37.8,-25.5833,74.71,78,20,6.91,light rain
87,Bagli,IN,22.65,76.35,77.32,86,99,4.5,overcast clouds
88,Severo-Kurilsk,RU,50.6789,156.125,54.81,96,81,13.58,broken clouds
89,Bredasdorp,ZA,-34.5322,20.0403,55.63,93,46,3.78,scattered clouds
90,Lorengau,PG,-2.0226,147.2712,80.64,79,85,9.55,overcast clouds
91,New Norfolk,AU,-42.7826,147.0587,35.71,84,4,2.89,clear sky
92,Osypenko,UA,46.9136,36.8253,80.62,25,0,6.35,clear sky
93,Dingle,PH,10.9995,122.6711,75.13,90,93,1.68,light rain
94,Dongzhen,CN,22.3797,110.9389,77.34,88,51,3.42,broken clouds
95,Hasaki,JP,35.7333,140.8333,81.28,86,81,20.92,broken clouds
96,Korla,CN,41.7597,86.1469,89.02,23,10,2.42,clear sky
97,Kwinana,AU,-32.25,115.7667,51.35,81,65,7.0,moderate rain
98,Mehamn,NO,71.0357,27.8492,51.75,82,75,12.66,broken clouds
99,Lagos,NG,6.5833,3.75,75.96,77,93,7.94,overcast clouds
100,Clyde River,CA,70.4692,-68.5914,46.63,93,100,21.85,fog
101,Verkhnevilyuysk,RU,63.4453,120.3167,54.23,98,100,3.96,overcast clouds
102,Abu Samrah,SY,35.3029,37.1841,78.98,43,0,13.76,clear sky
103,Ambon,ID,-3.6954,128.1814,77.23,15,40,5.75,scattered clouds
104,Vaini,TO,-21.2,-175.2,75.36,94,40,6.91,scattered clouds
105,Kahului,US,20.8947,-156.47,82.42,67,20,17.27,few clouds
106,Pevek,RU,69.7008,170.3133,33.22,86,19,6.93,few clouds
107,Saint-Pierre,RE,-21.3393,55.4781,67.28,78,0,6.91,clear sky
108,Coffs Harbour,AU,-30.3,153.1333,49.96,76,1,8.05,clear sky
